tenant_id,vehicle_id,window_length_minutes,total_images,discontinuous_images,discontinuous_pct,num_runs,dropped_missing_timestamp,dropped_missing_dct,total_windows,affected_windows,affected_windows_pct,error
20559,1348866,10,23.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,
20559,1348866,15,23.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,
20559,1348866,30,23.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,
20559,1348866,60,23.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,
25836,3704523,10,752.0,0.0,0.0,135.0,0.0,0.0,135.0,0.0,0.0,
25836,3704523,15,752.0,0.0,0.0,94.0,0.0,0.0,94.0,0.0,0.0,
25836,3704523,30,752.0,0.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,
25836,3704523,60,752.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,
4122,3345443,10,1725.0,29.0,1.681159420289855,288.0,0.0,0.0,284.0,3.0,1.056338028169014,
4122,3345443,15,1725.0,21.0,1.2173913043478262,207.0,0.0,0.0,204.0,2.0,0.9803921568627451,
4122,3345443,30,1725.0,0.0,0.0,118.0,0.0,0.0,118.0,0.0,0.0,
4122,3345443,60,1725.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,
14564,2358737,10,1926.0,30.0,1.557632398753894,315.0,0.0,0.0,305.0,6.0,1.9672131147540983,
14564,2358737,15,1926.0,18.0,0.9345794392523364,224.0,0.0,0.0,216.0,4.0,1.8518518518518519,
14564,2358737,30,1926.0,40.0,2.0768431983385254,121.0,0.0,0.0,113.0,4.0,3.5398230088495577,
14564,2358737,60,1926.0,78.0,4.049844236760125,67.0,0.0,0.0,59.0,4.0,6.779661016949152,
5429,1806808,10,2082.0,0.0,0.0,343.0,0.0,0.0,343.0,0.0,0.0,
5429,1806808,15,2082.0,0.0,0.0,241.0,0.0,0.0,241.0,0.0,0.0,
5429,1806808,30,2082.0,0.0,0.0,132.0,0.0,0.0,132.0,0.0,0.0,
5429,1806808,60,2082.0,0.0,0.0,72.0,0.0,0.0,72.0,0.0,0.0,
4904,601083,10,1604.0,0.0,0.0,293.0,0.0,0.0,293.0,0.0,0.0,
4904,601083,15,1604.0,0.0,0.0,208.0,0.0,0.0,208.0,0.0,0.0,
4904,601083,30,1604.0,0.0,0.0,115.0,0.0,0.0,115.0,0.0,0.0,
4904,601083,60,1604.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,
5220,511996,10,1668.0,8.0,0.47961630695443647,330.0,0.0,0.0,329.0,1.0,0.303951367781155,
5220,511996,15,1668.0,0.0,0.0,233.0,0.0,0.0,233.0,0.0,0.0,
5220,511996,30,1668.0,0.0,0.0,129.0,0.0,0.0,129.0,0.0,0.0,
5220,511996,60,1668.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,
19037,2326726,10,1371.0,94.0,6.856309263311451,257.0,0.0,0.0,250.0,2.0,0.8,
19037,2326726,15,1371.0,94.0,6.856309263311451,179.0,0.0,0.0,172.0,2.0,1.1627906976744187,
19037,2326726,30,1371.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,
19037,2326726,60,1371.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,0.0,
5904,1978627,10,2028.0,109.0,5.374753451676528,330.0,0.0,0.0,321.0,3.0,0.9345794392523364,
5904,1978627,15,2028.0,103.0,5.0788954635108485,235.0,0.0,0.0,226.0,2.0,0.8849557522123894,
5904,1978627,30,2028.0,0.0,0.0,123.0,0.0,0.0,123.0,0.0,0.0,
5904,1978627,60,2028.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,
20001,1323145,10,385.0,0.0,0.0,230.0,0.0,0.0,230.0,0.0,0.0,
20001,1323145,15,385.0,0.0,0.0,212.0,0.0,0.0,212.0,0.0,0.0,
20001,1323145,30,385.0,0.0,0.0,182.0,0.0,0.0,182.0,0.0,0.0,
20001,1323145,60,385.0,0.0,0.0,114.0,0.0,0.0,114.0,0.0,0.0,
14611,3792244,10,869.0,0.0,0.0,210.0,0.0,0.0,210.0,0.0,0.0,
14611,3792244,15,869.0,0.0,0.0,152.0,0.0,0.0,152.0,0.0,0.0,
14611,3792244,30,869.0,0.0,0.0,85.0,0.0,0.0,85.0,0.0,0.0,
14611,3792244,60,869.0,0.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,
10469,717532,10,415.0,0.0,0.0,101.0,0.0,0.0,101.0,0.0,0.0,
10469,717532,15,415.0,0.0,0.0,77.0,0.0,0.0,77.0,0.0,0.0,
10469,717532,30,415.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,
10469,717532,60,415.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,
21815,2821556,10,2148.0,21.0,0.9776536312849162,360.0,0.0,0.0,352.0,4.0,1.1363636363636365,
21815,2821556,15,2148.0,0.0,0.0,243.0,0.0,0.0,243.0,0.0,0.0,
21815,2821556,30,2148.0,0.0,0.0,128.0,0.0,0.0,128.0,0.0,0.0,
21815,2821556,60,2148.0,0.0,0.0,71.0,0.0,0.0,71.0,0.0,0.0,
9388,2641639,10,1889.0,0.0,0.0,288.0,0.0,0.0,288.0,0.0,0.0,
9388,2641639,15,1889.0,12.0,0.6352567496029645,200.0,0.0,0.0,198.0,2.0,1.0101010101010102,
9388,2641639,30,1889.0,0.0,0.0,105.0,0.0,0.0,105.0,0.0,0.0,
9388,2641639,60,1889.0,0.0,0.0,55.0,0.0,0.0,55.0,0.0,0.0,
10825,735499,10,2244.0,0.0,0.0,313.0,0.0,0.0,313.0,0.0,0.0,
10825,735499,15,2244.0,48.0,2.1390374331550803,224.0,0.0,0.0,214.0,8.0,3.7383177570093458,
10825,735499,30,2244.0,0.0,0.0,116.0,0.0,0.0,116.0,0.0,0.0,
10825,735499,60,2244.0,0.0,0.0,59.0,0.0,0.0,59.0,0.0,0.0,
5326,3640202,10,1463.0,2.0,0.1367053998632946,280.0,0.0,0.0,279.0,1.0,0.35842293906810035,
5326,3640202,15,1463.0,16.0,1.0936431989063569,207.0,0.0,0.0,202.0,3.0,1.4851485148514851,
5326,3640202,30,1463.0,0.0,0.0,116.0,0.0,0.0,116.0,0.0,0.0,
5326,3640202,60,1463.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,
4733,263591,10,1792.0,0.0,0.0,356.0,0.0,0.0,356.0,0.0,0.0,
4733,263591,15,1792.0,7.0,0.390625,250.0,0.0,0.0,249.0,1.0,0.40160642570281124,
4733,263591,30,1792.0,27.0,1.5066964285714286,137.0,0.0,0.0,135.0,2.0,1.4814814814814814,
4733,263591,60,1792.0,48.0,2.6785714285714284,77.0,0.0,0.0,75.0,2.0,2.6666666666666665,
25284,2389201,10,2067.0,0.0,0.0,315.0,0.0,0.0,315.0,0.0,0.0,
25284,2389201,15,2067.0,0.0,0.0,221.0,0.0,0.0,221.0,0.0,0.0,
25284,2389201,30,2067.0,0.0,0.0,121.0,0.0,0.0,121.0,0.0,0.0,
25284,2389201,60,2067.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,
20558,3127059,10,309.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0,
20558,3127059,15,309.0,0.0,0.0,58.0,0.0,0.0,58.0,0.0,0.0,
20558,3127059,30,309.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,
20558,3127059,60,309.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,
